
 0,10000  -0,00003  -0,00013   0,00015   0,00001  -0,00010  -0,00016  -0,00004 
 7,80000   0,00006  -0,00001   0,00030   0,00000   0,00032   0,00002   0,00012 
 7,90000  -0,00002  -0,00004   0,00043  -0,00009   0,00021  -0,00001   0,00008 
 8,00000  -0,00002  -0,00013   0,00054  -0,00004   0,00024  -0,00001   0,00009 
 8,10000  -0,00007  -0,00002   0,00049   0,00003   0,00031   0,00003   0,00013 
 8,20000  -0,00007  -0,00003   0,00037   0,00001   0,00028   0,00000   0,00010 
 8,30000  -0,00004  -0,00001   0,00035   0,00000   0,00032  -0,00004   0,00010 
 8,40000  -0,00004  -0,00006   0,00036   0,00002   0,00037  -0,00002   0,00010 
 8,50000   0,00006  -0,00007   0,00042   0,00002   0,00042  -0,00008   0,00013 
 8,60000   0,00002  -0,00011   0,00042   0,00003   0,00043  -0,00008   0,00012 
 8,70000  -0,00000  -0,00013   0,00049  -0,00002   0,00065  -0,00004   0,00016 
 8,80000   0,00003  -0,00011   0,00047   0,00007   0,00074  -0,00002   0,00020 
 8,90000  -0,00002  -0,00010   0,00042   0,00007   0,00089  -0,00001   0,00021 
 9,00000   0,00000  -0,00016   0,00048  -0,00002   0,00107  -0,00003   0,00022 
 9,10000   0,00009  -0,00013   0,00040  -0,00006   0,00119   0,00007   0,00026 
 9,20000   0,00002  -0,00005   0,00056  -0,00008   0,00138   0,00002   0,00031 
 9,30000   0,00002  -0,00013   0,00060  -0,00008   0,00162  -0,00001   0,00034 
 9,40000   0,00002  -0,00009   0,00054  -0,00004   0,00181  -0,00005   0,00036 
 9,50000   0,00005  -0,00011   0,00050   0,00000   0,00193   0,00003   0,00040 
 9,60000   0,00003  -0,00013   0,00059   0,00003   0,00208   0,00003   0,00044 
 9,70000   0,00006  -0,00006   0,00058   0,00003   0,00210  -0,00001   0,00045 
 9,80000   0,00009  -0,00007   0,00052  -0,00002   0,00089  -0,00004   0,00023 
 9,90000   0,00013  -0,00016   0,00047   0,00002   0,00045   0,00001   0,00015 
 10,00000   0,00001  -0,00006   0,00068  -0,00004   0,00056   0,00000   0,00019 
 10,10000   0,00008  -0,00005   0,00052  -0,00006   0,00085   0,00005   0,00023 
 10,20000   0,00003  -0,00014   0,00044   0,00006   0,00085   0,00004   0,00021 
 10,30000   0,00007  -0,00001   0,00050   0,00000   0,00111  -0,00005   0,00027 
 10,40000   0,00005  -0,00002   0,00061   0,00012   0,00078   0,00003   0,00026 
 10,50000   0,00015   0,00006   0,00063   0,00007   0,00057   0,00003   0,00025 
 10,60000   0,00011  -0,00001   0,00070   0,00002   0,00058  -0,00002   0,00023 
 10,70000   0,00017   0,00001   0,00089   0,00011   0,00076  -0,00010   0,00031 
 10,80000   0,00018   0,00012   0,00093   0,00011   0,00044  -0,00004   0,00029 
 10,90000   0,00019   0,00013   0,00088   0,00007   0,00026  -0,00002   0,00025 
 11,00000   0,00020   0,00016   0,00090   0,00002   0,00042  -0,00001   0,00028 
 11,10000   0,00019   0,00011   0,00080  -0,00002   0,00060   0,00005   0,00029 
 11,20000   0,00029   0,00008   0,00087   0,00006   0,00060   0,00006   0,00032 
 11,30000   0,00020   0,00004   0,00098   0,00006   0,00077  -0,00001   0,00034 
 11,40000   0,00018  -0,00001   0,00120   0,00006   0,00085   0,00008   0,00039 
 11,50000   0,00017   0,00001   0,00125   0,00005   0,00095   0,00008   0,00042 
 11,60000   0,00015   0,00006   0,00143   0,00009   0,00132   0,00001   0,00051 
 11,70000   0,00024   0,00008   0,00169   0,00006   0,00161  -0,00006   0,00060 
 11,80000   0,00036  -0,00000   0,00160   0,00011   0,00172   0,00002   0,00064 
 11,90000   0,00030  -0,00001   0,00126   0,00003   0,00182   0,00008   0,00058 
 12,00000   0,00039   0,00001   0,00137   0,00006   0,00217   0,00006   0,00068 
 12,10000   0,00030   0,00004   0,00152   0,00005   0,00238   0,00005   0,00072 
 12,20000   0,00021  -0,00000   0,00180   0,00003   0,00255  -0,00007   0,00075 
 12,30000   0,00032  -0,00003   0,00200   0,00004   0,00275   0,00001   0,00085 
 12,40000   0,00045   0,00004   0,00210   0,00005   0,00281   0,00001   0,00091 
 12,50000   0,00043   0,00008   0,00242  -0,00002   0,00290   0,00007   0,00098 
 12,60000   0,00044  -0,00006   0,00262   0,00003   0,00290   0,00008   0,00100 
 12,70000   0,00062   0,00003   0,00285   0,00005   0,00298   0,00006   0,00110 
 12,80000   0,00055   0,00005   0,00302  -0,00003   0,00298   0,00002   0,00110 
 12,90000   0,00070   0,00005   0,00328  -0,00006   0,00314   0,00001   0,00119 
